;;;;Flash;Lightning;Discovery;Quality
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value;Value
AECS;(5)-anonymity;0.0;ADULT;33.0;1394.0;1.7976931348623157E308;-1.0
AECS;(5)-anonymity;0.0;CUP;32.0;21964.0;1.7976931348623157E308;-1.0
AECS;(5)-anonymity;0.0;FARS;61.0;2669.0;1.7976931348623157E308;-1.0
AECS;(5)-anonymity;0.0;ATUS;217.0;19097.0;1.7976931348623157E308;-1.0
AECS;(5)-anonymity;0.0;IHIS;2186.0;144978.0;1.7976931348623157E308;-1.0
AECS;(5)-anonymity;1.0;ADULT;847.0;1375.0;48.0;0.0
AECS;(5)-anonymity;1.0;CUP;20662.0;21462.0;11916.0;0.0
AECS;(5)-anonymity;1.0;FARS;2219.0;2766.0;1752.0;0.0
AECS;(5)-anonymity;1.0;ATUS;11109.0;18421.0;424.0;0.0
AECS;(5)-anonymity;1.0;IHIS;51573.0;170599.0;1082.0;0.0
AECS;(0.01)-uniqueness;0.0;ADULT;184.0;110.0;76.0;0.0
AECS;(0.01)-uniqueness;0.0;CUP;16353.0;36409.0;12484.0;2.6545981320687242E-8
AECS;(0.01)-uniqueness;0.0;FARS;7554.0;20947.0;5237.0;1.8276712852164297E-5
AECS;(0.01)-uniqueness;0.0;ATUS;67.0;58.0;58.0;0.0
AECS;(0.01)-uniqueness;0.0;IHIS;195.0;165.0;165.0;0.0
AECS;(0.01)-uniqueness;1.0;ADULT;9359.0;10028.0;74.0;0.0
AECS;(0.01)-uniqueness;1.0;CUP;109540.0;109605.0;75819.0;0.0
AECS;(0.01)-uniqueness;1.0;FARS;40145.0;40775.0;16419.0;0.0
AECS;(0.01)-uniqueness;1.0;ATUS;273027.0;285699.0;58.0;0.0
AECS;(0.01)-uniqueness;1.0;IHIS;689753.0;791150.0;164.0;0.0
Loss;(5)-anonymity;0.0;ADULT;27.0;1579.0;1.7976931348623157E308;-1.0
Loss;(5)-anonymity;0.0;CUP;34.0;29940.0;1.7976931348623157E308;-1.0
Loss;(5)-anonymity;0.0;FARS;62.0;3674.0;1.7976931348623157E308;-1.0
Loss;(5)-anonymity;0.0;ATUS;219.0;32625.0;1.7976931348623157E308;-1.0
Loss;(5)-anonymity;0.0;IHIS;2203.0;127193.0;1.7976931348623157E308;-1.0
Loss;(5)-anonymity;1.0;ADULT;1172.0;1582.0;42.0;0.0
Loss;(5)-anonymity;1.0;CUP;30012.0;29892.0;7056.0;0.0
Loss;(5)-anonymity;1.0;FARS;2907.0;3703.0;97.0;0.0
Loss;(5)-anonymity;1.0;ATUS;13840.0;33304.0;204.0;2.326532786062226E-16
Loss;(5)-anonymity;1.0;IHIS;62067.0;147184.0;1438.0;0.0
Loss;(0.01)-uniqueness;0.0;ADULT;628.0;280.0;90.0;0.0
Loss;(0.01)-uniqueness;0.0;CUP;124891.0;12189.0;9527.0;0.0
Loss;(0.01)-uniqueness;0.0;FARS;15808.0;4783.0;3138.0;0.0
Loss;(0.01)-uniqueness;0.0;ATUS;157.0;148.0;148.0;0.0
Loss;(0.01)-uniqueness;0.0;IHIS;966.0;939.0;951.0;0.0
Loss;(0.01)-uniqueness;1.0;ADULT;21543.0;22745.0;90.0;0.0
Loss;(0.01)-uniqueness;1.0;CUP;463655.0;462177.0;359723.0;0.0
Loss;(0.01)-uniqueness;1.0;FARS;66313.0;68251.0;2778.0;0.0
Loss;(0.01)-uniqueness;1.0;ATUS;373064.0;380183.0;149.0;0.0
Loss;(0.01)-uniqueness;1.0;IHIS;968625.0;1196804.0;995.0;0.0
