;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;0.0;SS13ACS_15;855.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_20;3133.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_20;69032.0;0.4412790697674418;false
AECS;(5)-anonymity;0.0;SS13ACS_20;359832.0;0.7687845303867404;false
AECS;(5)-anonymity;0.0;SS13ACS_20;589607.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_25;6040.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_25;12086.0;1.0;false
AECS;(5)-anonymity;0.0;SS13ACS_30;16948.0;0.0;false
AECS;(5)-anonymity;0.0;SS13ACS_30;63649.0;0.1449999999999999;false
AECS;(5)-anonymity;0.0;SS13ACS_30;77856.0;0.9321428571428573;false
AECS;(5)-anonymity;0.0;SS13ACS_30;221936.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_15;7.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_15;16.0;0.11376842277103066;false
AECS;(5)-anonymity;1.0;SS13ACS_15;26.0;0.1330589756029711;false
AECS;(5)-anonymity;1.0;SS13ACS_15;41.0;0.216833497814747;false
AECS;(5)-anonymity;1.0;SS13ACS_15;45.0;0.23562613123213755;false
AECS;(5)-anonymity;1.0;SS13ACS_15;87.0;0.3501544187519803;false
AECS;(5)-anonymity;1.0;SS13ACS_15;96.0;0.3935904250083673;false
AECS;(5)-anonymity;1.0;SS13ACS_15;106.0;0.40437284687172936;false
AECS;(5)-anonymity;1.0;SS13ACS_15;144.0;0.5279567570355238;false
AECS;(5)-anonymity;1.0;SS13ACS_15;147.0;0.6172024791545905;false
AECS;(5)-anonymity;1.0;SS13ACS_15;168.0;0.7569725473039484;false
AECS;(5)-anonymity;1.0;SS13ACS_15;176.0;0.8088432862448452;false
AECS;(5)-anonymity;1.0;SS13ACS_15;191.0;0.9508453773818778;false
AECS;(5)-anonymity;1.0;SS13ACS_15;230.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_20;8.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_20;19.0;0.07600465928945811;false
AECS;(5)-anonymity;1.0;SS13ACS_20;37.0;0.08256827425915161;false
AECS;(5)-anonymity;1.0;SS13ACS_20;77.0;0.08747099767981426;false
AECS;(5)-anonymity;1.0;SS13ACS_20;95.0;0.137150997150997;false
AECS;(5)-anonymity;1.0;SS13ACS_20;135.0;0.2092119866814649;false
AECS;(5)-anonymity;1.0;SS13ACS_20;153.0;0.21219512195121962;false
AECS;(5)-anonymity;1.0;SS13ACS_20;170.0;0.2211049723756907;false
AECS;(5)-anonymity;1.0;SS13ACS_20;234.0;0.257602179836512;false
AECS;(5)-anonymity;1.0;SS13ACS_20;251.0;0.3235919234856536;false
AECS;(5)-anonymity;1.0;SS13ACS_20;286.0;0.3426160337552742;false
AECS;(5)-anonymity;1.0;SS13ACS_20;366.0;0.40319258496395466;false
AECS;(5)-anonymity;1.0;SS13ACS_20;384.0;0.41088295687884996;false
AECS;(5)-anonymity;1.0;SS13ACS_20;482.0;0.47317317317317303;false
AECS;(5)-anonymity;1.0;SS13ACS_20;511.0;0.4768115942028985;false
AECS;(5)-anonymity;1.0;SS13ACS_20;585.0;0.4816458852867831;false
AECS;(5)-anonymity;1.0;SS13ACS_20;596.0;0.540486618004866;false
AECS;(5)-anonymity;1.0;SS13ACS_20;723.0;0.5722035525684112;false
AECS;(5)-anonymity;1.0;SS13ACS_20;734.0;0.5800000000000002;false
AECS;(5)-anonymity;1.0;SS13ACS_20;740.0;0.5943414170232999;false
AECS;(5)-anonymity;1.0;SS13ACS_20;836.0;0.6499767981438513;false
AECS;(5)-anonymity;1.0;SS13ACS_20;961.0;0.7009977324263037;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1102.0;0.7459351399378054;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1232.0;0.7816950633464396;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1356.0;0.795486111111111;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1362.0;0.8063903281519861;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1468.0;0.8198627198627197;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1588.0;0.820754716981132;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1594.0;0.8358024691358025;false
AECS;(5)-anonymity;1.0;SS13ACS_20;1694.0;0.8366808510638297;false
